Pk,Tm,Player,College,Yrs,G,MP_total,PTS_total,TRB_total,AST_total,FG%,3P%,FT%,MP,PTS,TRB,AST,RK,PLAYER,POS,HOMETOWN,HT,WT,STARS,GRADE,SCHOOL
50,DAL,Solomon Alabi,Florida State,2,26,181,39,61,5,0.314,,0.7,7,1.5,2.3,0.2,33,Solomon Alabi,C,"Bronx, NYMontverde Academy",7'1'',220,,97,Florida St
54,LAC,Willie Warren,Oklahoma,1,19,134,37,12,27,0.371,0.333,0.75,7.1,1.9,0.6,1.4,10,Willie Warren,SG,"Fort Worth, TXNorth Crowley High School",6'4'',195,,96,Oklahoma
1,CLE,Kyrie Irving,Duke,12,641,21900,14870,2486,3645,0.471,0.391,0.883,34.2,23.2,3.9,5.7,3,Kyrie Irving,PG,"West Orange, NJSaint Patrick's High School",6'2'',172,five,97,Duke
2,MIN,Derrick Williams,Arizona,7,428,8864,3809,1693,293,0.434,0.3,0.71,20.7,8.9,4,0.7,72,Derrick Williams,PF,"La Mirada, CALa Mirada High School",6'8'',215,,92,Arizona
4,CLE,Tristan Thompson,Texas,11,730,19556,6592,6120,725,0.519,0.263,0.605,26.8,9,8.4,1,10,Tristan Thompson,PF,"Brampton, ONT, CANFindlay College Prep",6'9'',235,five,97,Texas
8,DET,Brandon Knight,Kentucky,9,451,13202,6301,1385,1777,0.411,0.352,0.807,29.3,14,3.1,3.9,4,Brandon Knight,PG,"Coral Springs, FLPine Crest High School",6'3'',183,five,97,Kentucky
9,CHA,Kemba Walker,UConn,12,750,24810,14486,2831,3938,0.418,0.36,0.84,33.1,19.3,3.8,5.3,14,Kemba Walker,PG,"Bronx, NYRice High School",6'2'',175,,96,UConn
11,GSW,Klay Thompson,Washington State,10,679,22313,13314,2381,1582,0.455,0.415,0.851,32.9,19.6,3.5,2.3,53,Klay Thompson,SF,"Rancho Santa Margarita, CASanta Margarita Catholic High School",6'7'',180,,95,Washington St
15,IND,Kawhi Leonard,San Diego State,11,595,18581,11430,3805,1745,0.493,0.382,0.857,31.2,19.2,6.4,2.9,56,Kawhi Leonard,SF,"Riverside, CAM. L. King High School",6'7'',210,,92,San Diego St
17,NYK,Iman Shumpert,Georgia Tech,10,461,11470,3320,1534,845,0.391,0.337,0.764,24.9,7.2,3.3,1.8,38,Iman Shumpert,SG,"Oak Park, ILOak Park-River Forest High School",6'4'',185,,96,Georgia Tech
18,WAS,Chris Singleton,Florida State,3,148,2605,612,472,92,0.376,0.319,0.633,17.6,4.1,3.2,0.6,25,Chris Singleton,PF,"Dunwoody, GADunwoody High School",6'8'',210,,96,Florida St
19,CHA,Tobias Harris,Tennessee,12,790,24882,12921,4896,1825,0.477,0.368,0.83,31.5,16.4,6.2,2.3,6,Tobias Harris,PF,"Dix Hills, NYHalf Hollow Hills West High School",6'8'',210,five,97,Tennessee
21,POR,Nolan Smith,Duke,2,84,829,277,83,97,0.371,0.26,0.714,9.9,3.3,1,1.2,6,Nolan Smith,SG,"Mouth of Wilson, VAOak Hill Academy",6'4'',185,,98,Duke
24,OKC,Reggie Jackson,Boston College,12,742,19078,9624,2217,3163,0.423,0.345,0.857,25.7,13,3,4.3,94,Reggie Jackson,SG,"Colorado Springs, COWilliam J. Palmer High School",6'3'',165,,92,Boston College
26,DAL,Jordan Hamilton,Texas,5,151,2100,890,429,127,0.408,0.357,0.67,13.9,5.9,2.8,0.8,8,Jordan Hamilton,SF,"Compton, CADominguez High School",6'7'',215,,98,Texas
27,NJN,JaJuan Johnson,Purdue,1,36,298,114,58,6,0.446,,0.667,8.3,3.2,1.6,0.2,41,JaJuan Johnson,C,"Indianapolis, INFranklin Central High School",6'10'',195,,96,Purdue
27,NJN,JaJuan Johnson,Purdue,1,36,298,114,58,6,0.446,,0.667,8.3,3.2,1.6,0.2,27,JaJuan Johnson,SG,"Memphis, TNSouthwind High School",6'5'',185,four,89,Marquette
